sk_ato,proposicao_id,sigla_numero_ano,id_tipo_proposicao,ordem_autoria,ementa,etapa,data_leitura
21604,151225,PL 1591/2025,,,Dispõe sobre a obrigatoriedade de instalação de câmeras de videomonitoramento em veículos utilizados para transporte por aplicativos no âmbito do Distrito Federal e dá outras providências.,"Comissões, Disponibilizada(Parecer)",2025-02-24
21605,151226,IND 7501/2025,,,"Sugere ao Poder Executivo que, por intermédio do Departamento de Trânsito do Distrito Federal - Detran, realize a manutenção e a criação de novas faixas de pedestres nas imediações das escolas públicas de Planaltina - RA VI.

",Apresentação,2025-02-25
21606,151227,IND 7493/2025,,,"Sugere ao Poder Executivo que, por intermédio da Companhia Urbanizadora da Nova Capital - NOVACAP, promova a construção de um estacionamento próximo ao CEPI Corujinha, na quadra CL 102, na Região Administrativa de Santa Maria – RA XIII.

",Apresentação,2025-02-24
21607,151228,PL 1592/2025,,,Institui as Diretrizes  para o  Programa Agrário do Distrito Federal.,"Comissões, Retorno(Parecer)",2025-02-24
21608,151229,MO 1205/2025,,,"Reconhece e apresenta votos de louvor aos integrantes da Polícia Militar do Distrito Federal (PMDF), composta pelo 2º SGT A. AMORIM mat 1961292, SD LIZIANE mat 7384750 e SD SOEIRO mat 7385730, pela ato de bravura praticado no salvamento de um homem que tentou tirar a própria vida.
 ",Apresentação,2025-02-24
21609,151230,REQ 1875/2025,,,"Requer informações à Secretaria de Educação do Distrito Federal sobre o processo de convocação do Concurso Público para Provimento de Vagas e Formação de Cadastro de Reserva para os Cargos de Magistério Público e Assistência à Educação da SEEDF, regido pelo Edital nº 31 de 30 de junho de 2022.",Apresentação,2025-03-17
21610,151231,IND 7598/2025,,,"Sugere ao Poder Executivo, por meio da Secretaria de Estado de Educação, a nomeação de professores de Educação Física aprovados no Concurso Público para Provimento de Vagas e Formação de Cadastro de Reserva para os Cargos de Magistério Público e Assistência à Educação da SEEDF, regido pelo Edital nº 31 de 30 de junho de 2022, sem prejuízo das demais especialidades.",Apresentação,2025-03-17
21611,151232,REQ 1846/2025,,,Requer informações à Secretaria de Estado de Saúde do Distrito Federal acerca das reformas empreendidas no bloco do Centro Obstétrico do Hospital Materno Infantil de Brasília - HMIB,Apresentação,2025-02-24
21612,151233,PL 1610/2025,,,Estabelece diretrizes para a disponibilização de protetores auriculares a crianças com Transtorno do Espectro Autista (TEA) na rede pública de ensino do Distrito Federal.,"Comissões, Disponibilizada(Parecer)",2025-03-06
21613,151235,IND 7759/2025,,,"Sugere ao Poder Executivo que, por intermédio da Secretaria de Estado de Educação – SEEDF, promova melhoria na climatização nas salas de aula da Escola CEF Santos Dumont, na QRC 17, na Região Administrativa de Santa Maria – RA XIII.

",Apresentação,2025-04-02
21614,151236,MO 1206/2025,,,"Manifesta votos de louvor e reconhecimento ao Dr. Madson Rodrigo de Souza Paula, pelo excepcional serviço prestado ao prestar os primeiros socorros ao adolescente Vitor Hugo, vítima de mais de 4 mil picadas de abelhas no Distrito Federal.",Apresentação,2025-02-25
21615,151237,IND 7502/2025,,,"Sugere ao Poder Executivo que promova a implantação de um campo de grama sintética na QR 225, em Samambaia.

",Apresentação,2025-02-26
21616,151238,IND 7503/2025,,,"Sugere ao Poder Executivo o aprimoramento do sistema de iluminação pública no Conjunto B da QR 3, na Candangolândia.

",Apresentação,2025-02-26
21617,151239,IND 7504/2025,,,"Sugere ao Poder Executivo a oferta de serviço de transporte de vizinhança, mais conhecido como Zebrinha, no Núcleo Bandeirante.",Apresentação,2025-02-26
21618,151240,IND 7505/2025,,,"Sugere ao Poder Executivo o aprimoramento do sistema de iluminação pública dos Conjuntos M, O e P, do SHIGS 713, na Asa Sul.

",Apresentação,2025-02-26
21619,151241,IND 7506/2025,,,"Sugere ao Poder Executivo que promova operação tapa-buraco na Quadra 203 do Setor Residencial Oeste, em São Sebastião.

",Apresentação,2025-02-26
21620,151242,REQ 1848/2025,,,"Requer a realização de Sessão Solene, em homenagem ao Dia do Mulher da União Feminina das Assembleias de Deus de Brasilia (UFADEB), a realizar-se no dia 17 de março de 2025, às 19h, no Plenário.

 ",Apresentação,2025-02-25
21621,151243,PL 1595/2025,,,"Altera a Lei Distrital nº 7.192, de 20 de julho de 2022, para incluir a obrigatoriedade de consulta à ficha criminal dos motoristas por empresas de aplicativos de transporte como forma de proteção das mulheres.","Comissões, Disponibilizada(Parecer)",2025-02-25
21622,151244,PDL 270/2025,,,Concede título de cidadão Benemérito de Brasília ao Senhor Thiago Miranda.,"Sanção Veto ou Promulgação, Retorno(Parecer)",2025-02-26
21623,151245,PL 1597/2025,,,Dispõe sobre a concessão de benefícios fiscais para o setor de e-commerce no Distrito Federal e dá outras providências.,"Comissões, Disponibilizada(Parecer)",2025-02-26
21624,151247,REQ 1854/2025,,,Requer realização de Audiência Pública para debater assuntos relacionados aos Restaurantes Comunitários.,Apresentação,2025-03-06
21625,151248,MO 1207/2025,,,"Reconhece e apresenta votos de louvor ao 1º SGT QPPMC ALAN DELON RODRIGUES DE ANDRADE, mat. 20.908/2 e ao 2º SGT QPPMC CARLOS ANDRE SOARES DE OLIVEIRA, mat. 195.933/6, da Polícia Militar do Distrito Federal, pelo profissionalismo e dedicação demonstrados na brilhante atuação em ocorrência ao salvar a vida de uma bebê, de 1 ano e 7 meses que estava engasgada.",Apresentação,2025-02-26
21626,151249,PDL 269/2025,,,Concede o Título de Cidadão Honorário de Brasília ao Senhor Carlos Eduardo Torres Gomes,"Comissões, Retorno(Parecer)",2025-02-26
21627,151250,PROC 28/2025,,,"Indicação do nome do Sr. Cleber Monteiro Fernandes para ocupar o cargo de Diretor-Presidente do Instituto de Gestão Estratégica de Saúde do Distrito Federal - Iges/DF.
","Aguardando Inclusão na ordem do Dia, Disponibilizada(Parecer)",2025-02-26
21628,151251,IND 7507/2025,,,"Sugere ao Poder Executivo a revitalização da quadra poliesportiva da QR 613, em Samambaia.",Apresentação,2025-02-27
21629,151252,IND 7508/2025,,,"Sugere ao Poder Executivo a revitalização do Ponto de Encontro Comunitário - PEC da QN 03, no Riacho Fundo.

",Apresentação,2025-02-27
21630,151254,IND 7509/2025,,,"Sugere ao Poder Executivo o aprimoramento do sistema de iluminação pública do Conjunto 03 da QL 05, no Lago Norte.

",Apresentação,2025-02-27
21631,151255,IND 7510/2025,,,"Sugere ao Poder Executivo que promova o asfaltamento do Conjunto B da Quadra 401, no Pôr do Sol.

",Apresentação,2025-02-27
21632,151256,IND 7511/2025,,,"Sugere ao Poder Executivo o aprimoramento do sistema de iluminação pública do Conjunto 22 da Quadra 405, no Recanto das Emas.

",Apresentação,2025-02-27
21633,151257,IND 7512/2025,,,"Sugere ao Poder Executivo que promova melhorias no saneamento básico, com implementação de rede de esgoto, em Água Quente.

",Apresentação,2025-02-27
21634,151258,PL 1599/2025,,,"Dispõe sobre a isenção e remissão de débitos de preço público cobrados dos autorizatários, permissionários e concessionários do Terminal do Gama.","Sanção Veto ou Promulgação, Retorno(Emenda)",2025-02-26
21635,151259,IND 7513/2025,,,Sugere ao Poder Executivo a implantação de mais uma Unidade Básica de Saúde - UBS em Água Quente.,Apresentação,2025-02-27
21636,151261,IND 7522/2025,,,"Sugere ao Poder Executivo, por intermédio da Semob, providências para o remanejamento da parada de ônibus localizada ao lado da Escola Classe Córrego do Arrozal, no loteamento de mesmo nome, situado entre Sobradinho e Planaltina.

",Apresentação,2025-02-28
21637,151262,PL 1627/2025,,,Institui a Política Distrital de Qualidade do Ar e dá outras providências.,"Comissões, Retorno(Emenda)",2025-03-17
21638,151263,IND 7652/2025,,,"Sugere ao Poder Executivo, por intermédio da Administração Regional de Ceilândia, a revitalização da área no entorno do Centro de ensino Fundamental 02 - CEF 02, na EQN 01/03 Ceilândia Sul.

",Apresentação,2025-03-25
21639,151264,PL 1635/2025,,,Institui o Programa Distrital de Estímulo ao Empreendedorismo de Mães Atípicas e dá outras providências. ,"Comissões, Retorno(Parecer)",2025-03-19
21640,151265,PL 1672/2025,,,Dispõe sobre a criação de um canal de atendimento especializado para pessoas com Transtorno do Espectro Autista (TEA) e seus familiares no serviço Disque 156 do Distrito Federal.,"Comissões, Disponibilizada(Parecer)",2025-04-07
21641,151266,MO 1210/2025,,,"Parabeniza, congratula e manifesta votos de louvor as pessoas que especifica, pelos relevantes serviços prestados à população do Distrito Federal por sua atuação em prol das causas das pessoas e familiares com doenças raras.",Apresentação,2025-02-26
21642,151267,PELO 16/2025,,,Acrescenta o art. 226-A à Lei Orgânica do Distrito Federal para garantir a liberdade educacional no Distrito Federal.,"Comissões, Retorno(Emenda)",2025-02-27
21643,151267,PELO 16/2025,,,Acrescenta o art. 226-A à Lei Orgânica do Distrito Federal para garantir a liberdade educacional no Distrito Federal.,"Comissões, Retorno(Emenda)",2025-02-27
21644,151267,PELO 16/2025,,,Acrescenta o art. 226-A à Lei Orgânica do Distrito Federal para garantir a liberdade educacional no Distrito Federal.,"Comissões, Retorno(Emenda)",2025-02-27
21645,151267,PELO 16/2025,,,Acrescenta o art. 226-A à Lei Orgânica do Distrito Federal para garantir a liberdade educacional no Distrito Federal.,"Comissões, Retorno(Emenda)",2025-02-27
21646,151267,PELO 16/2025,,,Acrescenta o art. 226-A à Lei Orgânica do Distrito Federal para garantir a liberdade educacional no Distrito Federal.,"Comissões, Retorno(Emenda)",2025-02-27
21647,151267,PELO 16/2025,,,Acrescenta o art. 226-A à Lei Orgânica do Distrito Federal para garantir a liberdade educacional no Distrito Federal.,"Comissões, Retorno(Emenda)",2025-02-27
21648,151267,PELO 16/2025,,,Acrescenta o art. 226-A à Lei Orgânica do Distrito Federal para garantir a liberdade educacional no Distrito Federal.,"Comissões, Retorno(Emenda)",2025-02-27
21649,151267,PELO 16/2025,,,Acrescenta o art. 226-A à Lei Orgânica do Distrito Federal para garantir a liberdade educacional no Distrito Federal.,"Comissões, Retorno(Emenda)",2025-02-27
21650,151267,PELO 16/2025,,,Acrescenta o art. 226-A à Lei Orgânica do Distrito Federal para garantir a liberdade educacional no Distrito Federal.,"Comissões, Retorno(Emenda)",2025-02-27
21651,151268,PL 1601/2025,,,"Altera a Lei nº 4.349, de 26 de junho de 2009, que “Institui a Política de Prevenção e Atendimento à Gravidez na Adolescência no âmbito do Distrito Federal.""
","Comissões, Disponibilizada(Emenda)",2025-02-26
21652,151269,PL 1600/2025,,,"Institui a Política Distrital de Desempenho Escolar - PDE nas escolas públicas do Distrito Federal.
","Comissões, Retorno(Emenda)",2025-02-26
21653,151270,PL 1607/2025,,,Reconhece as manifestações artísticas e sociais da Cultura Ballroom como Patrimônio Cultural do Distrito Federal,"Comissões, Retorno(Emenda)",2025-02-28
21654,151271,IND 7516/2025,,,"Sugere ao Poder Executivo que promova assistência e acolhimento a pessoas em situação de vulnerabilidade social, instaladas nas imediações do CEF 519, em Samambaia.",Apresentação,2025-02-28
21655,151272,IND 7517/2025,,,"Sugere ao Poder Executivo que seja realizado serviço de limpeza urbana, com recolhimento de lixo e entulho, na EQNN 01/03, nas imediações do CEF 35, na Ceilândia.

",Apresentação,2025-02-28
21656,151273,IND 7518/2025,,,"Sugere ao Poder Executivo o aprimoramento do sistema de iluminação pública da Quadra 05 do Setor Sul, no Gama.

",Apresentação,2025-02-28
21657,151274,IND 7519/2025,,,"Sugere ao Poder Executivo que promova o recapeamento do asfalto no Conjunto E da QNL 18, em Taguatinga.

",Apresentação,2025-02-28
21658,151275,IND 7520/2025,,,"Sugere ao Poder Executivo o aprimoramento do sistema de iluminação pública da Quadra 302, em Santa Maria.

",Apresentação,2025-02-28
21659,151276,MO 1212/2025,,,"Parabeniza, congratula e manifesta votos de louvor as pessoas que especifica, pelos relevantes serviços prestados à população do Distrito Federal  em prol  de sua atuação e engajamento na defesa das pessoas com doenças raras.",Apresentação,2025-02-27
21660,151277,IND 7521/2025,,,"Sugere ao Poder Executivo que promova a construção de quebra-molas em frente ao Ponto de Encontro Comunitário - PEC da QR 833, em Samambaia.

",Apresentação,2025-02-28
21661,151278,PL 1604/2025,,,"Altera a Lei nº 6.956, de 29 de setembro de 2021, que dispõe sobre a regularização, a organização e o funcionamento das feiras públicas e público-privadas no Distrito Federal.","Arquivar, Retorno(Parecer)",2025-02-27
21662,151279,PROC 29/2025,,,Homologa os Convênios ICMS nº 193/2023 e nº 91/2024,"Comissões, Retorno(Emenda)",2025-02-27
21663,151280,PL 1603/2025,,,Institui a Política Distrital de Educação para a Integridade no âmbito das escolas públicas do Distrito Federal.,"Comissões, Retorno(Emenda)",2025-02-27
21664,151281,PL 1609/2025,,,Regula e disciplina a obrigatoriedade da comprovação de origem lícita do material por parte de vendedores e compradores de cobre no Distrito Federal e dá outras providências.,"Comissões, Disponibilizada(Parecer)",2025-02-28
21665,151282,IND 7515/2025,,,"Sugere ao Poder Executivo do Distrito Federal, por intermédio da Secretaria de Estado de Cultura e Economia Criativa do Distrito Federal - SECEC-DF, a criação de acesso adequado para pedestres à área do Museu Vivo da Memória Candanga.

",Apresentação,2025-02-27
21666,151283,IND 7514/2025,,,"Sugere ao Poder Executivo do Distrito Federal, por intermédio do Departamento de Estradas de Rodagem do Distrito Federal - DER/DF, a criação de uma via secundária paralela à Avenida Contorno, permitindo o acesso e a saída dos moradores do Residencial Isla Life Style, AE 04, Lotes E/F – Guará II, pela orla.

",Apresentação,2025-02-27
21667,151285,MO 1214/2025,,,"Reconhece e apresenta votos de louvor aos farmacêuticos relacionados, em razão da sua dedicação e serviços prestados à comunidade",Apresentação,2025-02-28
21668,151286,MO 1213/2025,,,Parabeniza e manifesta votos de Aplausos e Louvor ao Dr. JURACY LACERDA CAVALCANTE por sua significativa contribuição e engajamento em prol das pessoas com doenças raras.,Apresentação,2025-02-28
21669,151287,REQ 1850/2025,,,Requer o encaminhamento de solicitação de informações à SECRETARIA DE ESTADO DE SAÚDE sobre licitação para aquisição de fórmula utilizada da dieta cetogênica oferecida aos pacientes atendidos pelo Hospital da Criança de Brasília.,Apresentação,2025-02-28
21670,151288,PL 1605/2025,,,"Institui, no âmbito do Distrito Federal, o Programa de Apoio às Pessoas com Esclerose Múltipla - EM.",Apresentação,2025-02-28
21671,151289,PL 1608/2025,,,Estabelece as diretrizes para a Política Distrital de Transporte Escolar Público no âmbito do Distrito Federal.,"Comissões, Retorno(Parecer)",2025-02-28
21672,151289,PL 1608/2025,,,Estabelece as diretrizes para a Política Distrital de Transporte Escolar Público no âmbito do Distrito Federal.,"Comissões, Retorno(Parecer)",2025-02-28
21673,151289,PL 1608/2025,,,Estabelece as diretrizes para a Política Distrital de Transporte Escolar Público no âmbito do Distrito Federal.,"Comissões, Retorno(Parecer)",2025-02-28
21674,151289,PL 1608/2025,,,Estabelece as diretrizes para a Política Distrital de Transporte Escolar Público no âmbito do Distrito Federal.,"Comissões, Retorno(Parecer)",2025-02-28
21675,151291,REQ 1849/2025,,,Requer a retirada de tramitação do Projetos de Lei nº 191/2019.,Apresentação,2025-02-28
21676,151292,IND 7524/2025,,,Sugere ao Poder Executivo a proposição de Projeto de Lei para a Criação do Conselho Distrital de Acompanhamento e Controle Social da Política Distrital de Transporte Escolar Público.,Apresentação,2025-02-28
21677,151292,IND 7524/2025,,,Sugere ao Poder Executivo a proposição de Projeto de Lei para a Criação do Conselho Distrital de Acompanhamento e Controle Social da Política Distrital de Transporte Escolar Público.,Apresentação,2025-02-28
21678,151292,IND 7524/2025,,,Sugere ao Poder Executivo a proposição de Projeto de Lei para a Criação do Conselho Distrital de Acompanhamento e Controle Social da Política Distrital de Transporte Escolar Público.,Apresentação,2025-02-28
21679,151292,IND 7524/2025,,,Sugere ao Poder Executivo a proposição de Projeto de Lei para a Criação do Conselho Distrital de Acompanhamento e Controle Social da Política Distrital de Transporte Escolar Público.,Apresentação,2025-02-28
21680,151293,REQ 1852/2025,,,Requer a transformação da Sessão Ordinária do dia 27 de março de 2025 em Comissão Geral para debater a situação dos puxadinhos comerciais da Região Administrativa do Plano Piloto.,Apresentação,2025-03-06
21681,151294,REQ 1874/2025,,,"Requer informações à Secretaria de Estado de Saúde do Distrito Federal sobre a situação precária da Unidade Básica de Saúde – UBS 8, da Região Administrativa – RA de Santa Maria/DF. ",Apresentação,2025-03-17
21682,151295,IND 7534/2025,,,"Sugere ao Poder Executivo a revitalização da quadra poliesportiva da QR 225, em Samambaia.

",Apresentação,2025-03-06
21683,151296,IND 7535/2025,,,"Sugere ao Poder Executivo que promova melhorias na infraestrutura e no urbanismo, com reparo de vazamento de esgoto no SHA, Chácara 121A, na lateral do Parque Ecológico do Areal, na Arniqueira.

",Apresentação,2025-03-06
21684,151297,IND 7536/2025,,,"Sugere ao Poder Executivo que promova a implantação de iluminação pública Avenida das Castanheiras, nas imediações da Rua Manacá, em Águas Claras.

",Apresentação,2025-03-06
21685,151298,IND 7537/2025,,,"Sugere ao Poder Executivo que promova a implantação de iluminação pública atrás dos Condomínios 10 e 11 do Parque Riacho, no Riacho Fundo II.

",Apresentação,2025-03-06
21686,151299,IND 7538/2025,,,"Sugere ao Poder Executivo a instalação de lixeiras na QE 17, no Guará.

",Apresentação,2025-03-06
21687,151300,PDL 348/2025,,,Concede o Título de Cidadã Benemérita de Brasília à Senhora Paula Laboissiére e Cunha.,"Comissões, Disponibilizada(Parecer)",2025-08-25
21688,151302,IND 7527/2025,,,"Sugere ao Poder Executivo providências para a substituição de toda a rede elétrica das escolas públicas do Distrito Federal, visando a modernização das instalações e a promoção de maior eficiência energética..

",Apresentação,2025-03-06
21689,151303,IND 7528/2025,,,"Sugere ao Poder Executivo providências para a concessão de reajuste aos diretores das escolas públicas do Distrito Federal, visando corrigir a exclusão desses profissionais do aumento de 25% concedido a outros cargos comissionados do GDF.
",Apresentação,2025-03-06
21690,151304,REQ 1851/2025,,,"Requer a transformação da Sessão Ordinária do dia 13 de março de 2025, em Comissão Geral para debater sobre a Saúde Pública no Distrito Federal.",Apresentação,2025-03-06
21691,151305,IND 7533/2025,,,"Sugere ao Poder Executivo do Distrito Federal, por intermédio do Departamento de Trânsito do Distrito Federal - DETRAN-DF, a instalação de placas “Proibido jogar lixo” e “Lixo no lixo” nos novos Papa Lixos instalados no Guará.

",Apresentação,2025-03-06
21692,151306,IND 7532/2025,,,"Sugere ao Poder Executivo do Distrito Federal, por intermédio da Companhia Urbanizadora da Nova Capital do Brasil - NOVACAP, a poda de árvores e a retirada de entulhos deixados após a revitalização da Quadra de Esportes da QI 07 do Guará I.

",Apresentação,2025-03-06
21693,151307,IND 7531/2025,,,"Sugere ao Poder Executivo do Distrito Federal, por intermédio da Companhia Urbanizadora da Nova Capital do Brasil - NOVACAP, a pavimentação do espaço ao lado do CED 03 - QE 17/19 Área Especial B – Guará II .

",Apresentação,2025-03-06
21694,151308,IND 7530/2025,,,"Sugere ao Poder Executivo do Distrito Federal, por intermédio da Administração Regional do Guará, a pavimentação do espaço ao lado do CED 03 - QE 17/19 Área Especial B – Guará II.

",Apresentação,2025-03-06
21695,151309,IND 7529/2025,,,"Sugere ao Poder Executivo do Distrito Federal, por intermédio da Companhia Urbanizadora da Nova Capital do Brasil - NOVACAP, a remoção de uma árvore localizada na QE 42, conjunto L, na região do Guará.

",Apresentação,2025-03-06
21696,151311,IND 7620/2025,,,"Sugere providências ao Ilustríssimo Senhor Presidente do Departamento de Estradas de Rodagem do Distrito Federal (DER-DF) para a adoção de medidas voltadas à duplicação da via DF-290, no trecho sob domínio do DER-DF, localizado na divisa entre a Região Administrativa de Santa Maria (RA-XIII) e o município de Novo Gama (GO).
",Apresentação,2025-03-19
21697,151312,PELO 18/2025,,,"Altera o art. 4º, da Lei Orgânica no Distrito Federal.","Comissões, Retorno(Emenda)",2025-05-20
21698,151312,PELO 18/2025,,,"Altera o art. 4º, da Lei Orgânica no Distrito Federal.","Comissões, Retorno(Emenda)",2025-05-20
21699,151312,PELO 18/2025,,,"Altera o art. 4º, da Lei Orgânica no Distrito Federal.","Comissões, Retorno(Emenda)",2025-05-20
21700,151312,PELO 18/2025,,,"Altera o art. 4º, da Lei Orgânica no Distrito Federal.","Comissões, Retorno(Emenda)",2025-05-20
21701,151312,PELO 18/2025,,,"Altera o art. 4º, da Lei Orgânica no Distrito Federal.","Comissões, Retorno(Emenda)",2025-05-20
21702,151312,PELO 18/2025,,,"Altera o art. 4º, da Lei Orgânica no Distrito Federal.","Comissões, Retorno(Emenda)",2025-05-20
21703,151312,PELO 18/2025,,,"Altera o art. 4º, da Lei Orgânica no Distrito Federal.","Comissões, Retorno(Emenda)",2025-05-20
21704,151312,PELO 18/2025,,,"Altera o art. 4º, da Lei Orgânica no Distrito Federal.","Comissões, Retorno(Emenda)",2025-05-20
21705,151312,PELO 18/2025,,,"Altera o art. 4º, da Lei Orgânica no Distrito Federal.","Comissões, Retorno(Emenda)",2025-05-20
21706,151315,MO 1215/2025,,,"Manifesta votos de louvor e reconhecimento pelo Ato de Bravura, aos Policiais Militares, abaixo especificados, do Grupo Tático Operacional 47, do 27º Batalhão da Polícia Militar do Distrito Federal, pelo excelente serviço prestado ao conter um homem armado com um arsenal na Região Administrativa de Água Quente /DF.",Apresentação,2025-03-06
